,Actual,Predicted
34080,3.4384337349397596,3.302784500643611
11309,3.340955882352941,3.3348689638078213
12549,3.6038095238095234,3.9228974282741547
17932,3.536521739130435,4.133814413100481
22340,3.6762857142857137,3.735591212287545
20523,3.832238805970149,3.842966189607978
15843,3.916875,3.894209483638406
24818,3.5878947368421055,3.3578705564141273
28008,3.73625,3.9179362393915653
6271,3.526190476190476,3.2942936420440674
38278,3.2575238095238097,3.2115948125720024
18305,3.7830434782608697,3.699713706970215
35671,3.596330275229358,3.7577276211231947
37470,3.2658620689655176,172902059.8729671
25883,3.2268,3.184722151607275
17880,3.626439102564103,3.658964816480875
17975,3.7783333333333338,3.789177428930998
33760,3.5551282051282054,3.600575553253293
2644,3.5039534883720935,3.432848623022437
32,2.799090909090909,2.5785697158426046
17891,3.314857142857143,-1386573682.4816644
4734,3.5538153631705844,3.5058159828186035
38186,3.2308974358974356,3.273113628849387
6109,3.2946260683760684,2.8255965169519186
34676,3.436153846153846,3.1708665564656258
35482,3.393333333333333,3.193939346820116
18558,2.9799999999999995,2.874281942844391
6593,3.6603313725490194,3.6683858446776867
15057,3.0992592592592594,3.3936870992183685
26047,3.5706060606060603,3.3640793692320585
35656,3.081967213114754,3.231152229011059
18083,3.5842857142857136,3.6108271908015013
20408,3.0352941176470587,-940148.600461416
840,3.1971428571428575,3.2343914173543453
19539,3.5536494252873565,3.4993601758033037
27007,2.948659793814433,3.2591712959110737
24207,3.627450980392157,3.6857692413032055
34721,3.7655555555555558,3.4707086011767387
1298,3.295454545454545,3.0468863919377327
3567,2.6732727272727272,2.987595546990633
29198,3.5502500000000006,3.494732905179262
33497,3.697368421052632,3.5880953148007393
15307,3.007333333333333,3.42118676379323
31273,3.3836413043478264,3.0014305524528027
38270,3.781176470588236,3.52088045142591
19966,3.0268,2.9585173949599266
18811,3.5743650793650796,3.315611958503723
7984,2.8225579975579973,198378449.5041596
5519,3.4395454545454545,12512680.067820422
26508,3.75,3.7393932677805424
23226,3.0795238095238098,2.8181099090725183
24383,3.477272727272727,3.331971315667033
38487,3.4867567567567566,12512679.953005448
25239,3.1322802532716327,3.2114518359303474
9953,2.443539870689655,2.6599400639533997
9885,3.5132432432432434,3.4399400297552347
11691,3.833636363636364,3.89571925252676
24503,3.57017094017094,3.6961444430053234
13965,3.968095238095238,3.899267954751849
33260,3.6823255813953497,3.532576836645603
25761,3.271973684210526,3.4005581252276897
5548,2.857743902439024,2.7061838917434216
30433,3.8513690476190474,3.678697319701314
11004,3.293333333333333,3.478140741586685
1289,3.423076923076923,3.6522970609366894
38387,2.08047619047619,2.7896766625344753
8859,3.5558333333333336,3.3450518790632486
12762,3.779047619047619,12512680.246320946
15799,2.814814814814815,3.1530320830643177
21921,2.8234375,-648870373.6128972
31308,3.6300000000000003,3.589777225628495
10008,2.647095172095172,2.927898969501257
23894,3.6698369565217392,3.3936403300613165
9319,3.194193548387097,3.1604037303477526
23352,3.534247787610619,3.4836270306259394
23049,2.4695454545454547,174230.7834396325
21833,3.7864077669902914,3.79281298071146
13291,3.7068,3.523647364228964
35294,2.6352380952380954,2.9159939140081406
32938,2.916818181818182,2.8234687261283398
31384,3.673469387755102,3.640782117843628
17416,3.4584374999999996,3.297024540603161
34,3.413333333333333,-461155863.8219389
19442,3.5278919860627176,3.5831597708165646
5318,3.782244897959184,3.554528519511223
36982,3.1236036036036037,3.2427669130265713
29874,3.389583333333334,142313929.1322451
33630,3.603341346153846,3.6415865067392588
24810,3.0009523809523806,3.0883071534335613
2682,2.9379166666666667,3.3289428427815437
15544,3.5091176470588237,3.6578856594860554
3283,3.257714285714286,3.4321192502975464
21374,3.3333333333333335,3.2059976011514664
18906,3.551304347826087,3.1178737804293633
29678,3.7504166666666667,3.5921171754598618
20472,3.7083333333333335,11572527.985254565
18849,3.8628723404255316,3.703651102259755
22351,3.635714285714286,12512680.185913097
3825,3.177857142857143,3.252236431464553
37740,3.505153438214214,3.6150750815868378
28196,3.7272,3.6769052632153034
7272,3.650952380952381,3.8730904422700405
2506,2.6938356164383563,2.716691741719842
38321,3.4027586206896547,3.3133898768574
3182,3.1578082191780825,3.128655955195427
34939,3.90825,3.6488049626350403
16741,3.6231111111111107,3.5755819883197546
12035,3.531111111111111,3.4811667650938034
614,3.3045502248875565,3.16021004319191
18803,2.75,3.1809941828250885
37378,2.920000000000001,3.38254632987082
10685,3.50561797752809,3.422313477844
1782,3.0792105263157894,3.0683543495833874
35323,3.045198412698413,3.151150345802307
7060,3.25,3.258292004466057
11809,2.9456374643874645,2.762212222442031
35723,3.9583333333333335,3.696150654926896
12921,3.3415,3.4008578713983297
27897,2.970444444444445,3.2067543528974056
28407,3.5939726027397256,3.8680595364421606
97,3.545,618003265.4155656
20508,3.605632183908046,3.4788087904453278
35368,3.2302777777777774,3.2187647838145494
3905,3.7340000000000004,3.8828846402466297
27121,3.0241483516483516,3.4234372302889824
37542,3.2396000000000003,3.221211699768901
36818,3.490960144927536,256661412.88632402
30387,3.7417499999999997,3.546912122517824
24378,3.9720833333333334,12512680.358181892
